candidate_number,center_number,center_location,points,is_nssac,subject_count
23OA050020,23,OA,19,False,5
23OA050021,23,OA,14,False,6
23OA020005,23,OA,14,False,6
23OA050024,23,OA,0,False,5
23OA020007,23,OA,19,False,6
23OA050027,23,OA,20,False,6
23OA020013,23,OA,20,False,6
23OA060002,23,OA,24,False,5
23OA020014,23,OA,11,False,6
23OA060003,23,OA,22,False,5
23OA020015,23,OA,9,False,6
23OA060004,23,OA,33,False,6
23OA020016,23,OA,28,False,6
23OA060005,23,OA,11,False,5
23OA020017,23,OA,13,False,6
23OA060006,23,OA,40,False,6
23OA060007,23,OA,25,False,5
23OA060008,23,OA,13,False,5
23OA020021,23,OA,23,False,6
23OA060011,23,OA,26,False,6
23OA060013,23,OA,31,False,6
23OA030001,23,OA,22,False,6
23OA030002,23,OA,25,False,6
23OA060015,23,OA,20,False,6
23OA060016,23,OA,20,False,5
23OA030005,23,OA,8,False,6
23OA060019,23,OA,10,False,6
23OA060020,23,OA,17,False,5
23OA030007,23,OA,15,False,6
23OA060021,23,OA,12,False,5
23OA030008,23,OA,19,False,6
23OA060022,23,OA,37,False,5
23OA030012,23,OA,8,False,6
23OA030014,23,OA,25,False,6
23OA060028,23,OA,24,False,6
23OA030015,23,OA,16,False,6
23OA060030,23,OA,32,False,5
23OA060031,23,OA,21,False,6
23OA060032,23,OA,12,False,6
23OA030020,23,OA,26,False,6
23OA060036,23,OA,1,False,5
23OA030022,23,OA,8,False,5
23OA030023,23,OA,13,False,6
23OA030025,23,OA,17,False,6
23OA030026,23,OA,9,False,6
23OA060043,23,OA,22,False,5
23OA060044,23,OA,10,False,5
23OA030030,23,OA,10,False,6
23OA060048,23,OA,26,False,5
23OA060049,23,OA,25,False,5
23OA030033,23,OA,15,False,6
23OA060052,23,OA,14,False,5
23OA060053,23,OA,4,False,5
23OA030035,23,OA,0,False,5
23OA030036,23,OA,14,False,6
23OA060056,23,OA,27,False,5
23OA030038,23,OA,22,False,6
23OA060058,23,OA,20,False,6
23OA030040,23,OA,14,False,6
23OA060060,23,OA,22,False,5
23OA030041,23,OA,25,False,6
23OA060061,23,OA,14,False,6
23OA030044,23,OA,29,False,5
23OA030045,23,OA,20,False,5
23OA030046,23,OA,11,False,5
23OA030047,23,OA,20,False,6
23OA060067,23,OA,27,False,6
23OA030050,23,OA,25,False,6
23OA060070,23,OA,16,False,5
23OA030052,23,OA,15,False,6
23OA060072,23,OA,30,False,6
23OA030054,23,OA,18,False,6
23OA060074,23,OA,21,False,6
23OA030055,23,OA,22,False,6
23OA060075,23,OA,22,False,6
23OA060076,23,OA,30,False,6
23OA030057,23,OA,13,False,6
23OA060077,23,OA,6,False,5
23OA060078,23,OA,24,False,5
23OA030062,23,OA,24,False,6
23OA060084,23,OA,18,False,5
23OA030064,23,OA,11,False,6
23OA060086,23,OA,31,False,6
23OA060088,23,OA,29,False,6
23OA030071,23,OA,25,False,5
23OA030072,23,OA,26,False,6
23OA070011,23,OA,17,False,5
23OA030082,23,OA,33,False,6
23OA080002,23,OA,10,False,5
23OA040001,23,OA,17,False,6
23OA080003,23,OA,9,False,6
23OA040002,23,OA,29,False,6
23OA080004,23,OA,7,False,5
23OA040003,23,OA,7,False,6
23OA080005,23,OA,17,False,6
23OA040004,23,OA,14,False,6
23OA080006,23,OA,22,False,5
23OA040005,23,OA,13,False,5
23OA040006,23,OA,23,False,6
23OA040007,23,OA,10,False,5
23OA040008,23,OA,17,False,6
23OA080010,23,OA,25,False,6
23OA040010,23,OA,10,False,6
23OA080014,23,OA,21,False,6
23OA040015,23,OA,20,False,6
23OA080016,23,OA,7,False,5
23OA040017,23,OA,12,False,6
23OA080018,23,OA,18,False,5
23OA040019,23,OA,33,False,6
23OA080019,23,OA,20,False,5
23OA040020,23,OA,25,False,5
23OA040021,23,OA,29,False,6
23OA080021,23,OA,24,False,6
23OA040022,23,OA,11,False,5
23OA040023,23,OA,21,False,6
23OA080025,23,OA,30,False,6
23OA040028,23,OA,4,False,6
23OA080029,23,OA,0,False,5
23OA040033,23,OA,11,False,6
23OA040034,23,OA,33,False,5
23OA090003,23,OA,28,False,5
23OA040036,23,OA,26,False,6
23OA040037,23,OA,22,False,6
23OA090007,23,OA,11,False,6
23OA040040,23,OA,16,False,6
23OA090010,23,OA,12,False,6
23OA040042,23,OA,16,False,6
23OA090012,23,OA,27,False,6
23OA090013,23,OA,36,False,5
23OA090014,23,OA,25,False,5
23OA090015,23,OA,29,False,5
23OA040046,23,OA,16,False,6
23OA090016,23,OA,28,False,5
23OA040048,23,OA,21,False,6
23OA090018,23,OA,21,False,5
23OA040050,23,OA,22,False,6
23OA090020,23,OA,29,False,6
23OA040052,23,OA,23,False,6
23OA090022,23,OA,30,False,6
23OA040054,23,OA,8,False,6
23OA090024,23,OA,16,False,5
23OA090025,23,OA,30,False,5
23OA040056,23,OA,0,False,5
23OA040057,23,OA,16,False,6
23OA090028,23,OA,13,False,6
23OA040059,23,OA,23,False,6
23OA090030,23,OA,21,False,6
23OA090031,23,OA,17,False,6
23OA050002,23,OA,22,False,6
23OA090032,23,OA,26,False,5
23OA050003,23,OA,7,False,5
23OA050004,23,OA,13,False,5
23OA050006,23,OA,17,False,5
23OA050007,23,OA,29,False,5
23OA050008,23,OA,0,False,6
23OA050010,23,OA,16,False,6
23OA090039,23,OA,33,False,6
23OA050012,23,OA,28,False,6
23OA090041,23,OA,31,False,6
23OA050014,23,OA,18,False,6
23OA090043,23,OA,21,False,5
23OA050016,23,OA,16,False,6
23OA090045,23,OA,28,False,6
23OA050018,23,OA,19,False,6
23OA090047,23,OA,11,False,5
23OA090050,23,OA,32,False,5
23OA090051,23,OA,24,False,6
23OA090052,23,OA,28,False,6
23OA090053,23,OA,14,False,6
23OA090054,23,OA,35,False,5
23OA090055,23,OA,25,False,6
23OA120029,23,OA,7,False,5
23OA120030,23,OA,12,False,5
23OA090058,23,OA,8,False,5
23OA120032,23,OA,7,False,5
23OA090060,23,OA,28,False,6
23OA090061,23,OA,37,False,6
23OA120036,23,OA,30,False,5
23OA120037,23,OA,23,False,6
23OA120038,23,OA,15,False,5
23OA120039,23,OA,13,False,6
23OA090067,23,OA,28,False,5
23OA120041,23,OA,16,False,5
23OA090070,23,OA,21,False,5
23OA120044,23,OA,20,False,6
23OA090072,23,OA,13,False,5
23OA120046,23,OA,14,False,6
23OA090073,23,OA,13,False,6
23OA120048,23,OA,12,False,5
23OA120049,23,OA,14,False,5
23OA120050,23,OA,33,False,5
23OA120051,23,OA,13,False,5
23OA120052,23,OA,8,False,5
23OA120053,23,OA,10,False,6
23OA090081,23,OA,10,False,5
23OA120054,23,OA,16,False,5
23OA120055,23,OA,11,False,5
23OA120056,23,OA,14,False,6
23OA120057,23,OA,26,False,6
23OA120058,23,OA,12,False,5
23OA120059,23,OA,17,False,5
23OA090086,23,OA,26,False,6
23OA090087,23,OA,13,False,6
23OA090088,23,OA,24,False,5
23OA090089,23,OA,29,False,6
23OA090091,23,OA,25,False,5
23OA120064,23,OA,13,False,5
23OA090094,23,OA,15,False,5
23OA120066,23,OA,15,False,5
23OA090096,23,OA,21,False,5
23OA120068,23,OA,12,False,6
23OA120069,23,OA,30,False,5
23OA120070,23,OA,18,False,5
23OA120071,23,OA,12,False,5
23OA120072,23,OA,13,False,5
23OA120073,23,OA,19,False,6
23OA120074,23,OA,13,False,5
23OA120075,23,OA,7,False,5
23OA120076,23,OA,19,False,6
23OA090105,23,OA,28,False,5
23OA120077,23,OA,19,False,6
23OA120078,23,OA,19,False,5
23OA090107,23,OA,20,False,5
23OA120079,23,OA,22,False,6
23OA090109,23,OA,22,False,5
23OA090110,23,OA,33,False,5
23OA090111,23,OA,29,False,5
23OA090112,23,OA,18,False,5
23OA120085,23,OA,2,False,5
23OA090113,23,OA,17,False,5
23OA120086,23,OA,21,False,6
23OA090116,23,OA,11,False,5
23OA120088,23,OA,14,False,5
23OA090118,23,OA,25,False,5
23OA120090,23,OA,8,False,5
23OA120091,23,OA,31,False,5
23OA120092,23,OA,34,False,6
23OA090120,23,OA,26,False,6
23OA090121,23,OA,17,False,6
23OA090122,23,OA,17,False,5
23OA120095,23,OA,22,False,5
23OA090124,23,OA,22,False,6
23OA120098,23,OA,9,False,5
23OA120099,23,OA,23,False,6
23OA120100,23,OA,20,False,6
23OA100003,23,OA,6,False,5
23OA120102,23,OA,11,False,5
23OA100006,23,OA,13,False,6
23OA100007,23,OA,12,False,6
23OA100008,23,OA,3,False,5
23OA100009,23,OA,24,False,6
23OA100010,23,OA,11,False,5
23OA120110,23,OA,29,False,6
23OA100012,23,OA,15,False,5
23OA120112,23,OA,6,False,5
23OA100013,23,OA,17,False,5
23OA100014,23,OA,15,False,5
23OA120114,23,OA,33,False,6
23OA100016,23,OA,17,False,5
23OA120116,23,OA,11,False,5
23OA120118,23,OA,16,False,6
23OA120119,23,OA,24,False,5
23OA120120,23,OA,14,False,5
23OA120122,23,OA,1,False,5
23OA100024,23,OA,11,False,5
23OA120123,23,OA,15,False,5
23OA100025,23,OA,9,False,5
23OA120124,23,OA,25,False,5
23OA100026,23,OA,12,False,5
23OA120125,23,OA,22,False,6
23OA100028,23,OA,18,False,5
23OA100029,23,OA,19,False,6
23OA100031,23,OA,10,False,5
23OA120130,23,OA,23,False,5
23OA100033,23,OA,13,False,5
23OA120132,23,OA,17,False,5
23OA110001,23,OA,15,False,5
23OA120134,23,OA,21,False,6
23OA110004,23,OA,30,False,6
23OA110005,23,OA,20,False,6
23OA110006,23,OA,4,False,5
23OA120140,23,OA,24,False,6
23OA120141,23,OA,26,False,6
23OA110010,23,OA,23,False,5
23OA120145,23,OA,8,False,5
23OA120146,23,OA,22,False,5
23OA120147,23,OA,10,False,5
23OA120148,23,OA,23,False,5
23OA110015,23,OA,22,False,6
23OA110016,23,OA,6,False,5
23OA120153,23,OA,7,False,5
23OA110018,23,OA,30,False,5
23OA120155,23,OA,14,False,5
23OA110020,23,OA,5,False,5
23OA120157,23,OA,12,False,5
23OA110021,23,OA,13,False,5
23OA120158,23,OA,11,False,5
23OA110022,23,OA,19,False,5
23OA120159,23,OA,21,False,5
23OA110023,23,OA,34,False,6
23OA110024,23,OA,18,False,5
23OA140002,23,OA,15,False,5
23OA110025,23,OA,38,False,6
23OA140004,23,OA,21,False,5
23OA110028,23,OA,27,False,5
23OA140005,23,OA,18,False,6
23OA140007,23,OA,14,False,6
23OA110032,23,OA,6,False,5
23OA140008,23,OA,11,False,5
23OA110034,23,OA,11,False,6
23OA140011,23,OA,9,False,5
23OA140012,23,OA,14,False,6
23OA140013,23,OA,6,False,5
23OA140014,23,OA,15,False,5
23OA110039,23,OA,22,False,6
23OA110040,23,OA,28,False,5
23OA110041,23,OA,24,False,6
23OA140018,23,OA,5,False,5
23OA110043,23,OA,13,False,5
23OA110044,23,OA,17,False,6
23OA110045,23,OA,22,False,5
23OA140022,23,OA,7,False,5
23OA140023,23,OA,14,False,5
23OA140024,23,OA,14,False,5
23OA150002,23,OA,18,False,6
23OA110052,23,OA,22,False,5
23OA150003,23,OA,21,False,5
23OA150004,23,OA,29,False,5
23OA110054,23,OA,18,False,6
23OA110055,23,OA,10,False,5
23OA110056,23,OA,23,False,5
23OA110057,23,OA,28,False,6
23OA150009,23,OA,24,False,6
23OA120002,23,OA,14,False,5
23OA150010,23,OA,26,False,5
23OA120003,23,OA,20,False,5
23OA120004,23,OA,18,False,6
23OA150012,23,OA,30,False,6
23OA150013,23,OA,30,False,5
23OA120007,23,OA,10,False,5
