center_number,last_4_digits,points,is_nssac,subject_count
105,21,14,0,6
102,5,14,0,6
1967,100,14,0,6
1967,108,6,0,6
1988,2,23,0,6
1988,3,12,0,6
1967,115,15,0,6
1967,122,15,0,6
1967,130,13,0,6
1967,131,22,0,6
1988,24,30,0,6
1988,25,15,0,6
1988,26,12,0,6
1988,27,11,0,6
1969,4,9,0,6
1969,10,14,0,6
1969,11,17,0,6
1969,18,11,0,6
1969,27,15,0,6
1993,12,30,0,6
1993,13,14,0,6
1969,34,15,0,6
1993,18,27,0,6
2007,3,18,0,6
2007,4,20,0,6
2007,8,16,0,6
2007,11,11,0,6
2007,12,15,0,6
2007,13,12,0,6
2007,20,14,0,6
2007,23,11,0,6
2007,24,22,0,6
2007,27,26,0,6
2007,29,26,0,6
2007,31,22,0,6
2007,35,19,0,6
2007,36,12,0,6
2007,38,24,0,6
2007,39,23,0,6
2007,41,19,0,6
2007,44,11,0,6
2007,47,21,0,6
2007,53,23,0,6
2007,55,15,0,6
2007,57,12,0,6
2007,60,25,0,6
2007,61,18,0,6
2007,62,16,0,6
2007,63,14,0,6
2007,64,25,0,6
2007,65,17,0,6
2007,66,20,0,6
2007,67,22,0,6
2007,70,24,0,6
2007,77,21,0,6
2007,78,13,0,6
2007,82,20,0,6
2007,83,21,0,6
2007,86,10,0,6
2007,87,17,0,6
2007,90,15,0,6
2007,92,14,0,6
2007,100,13,0,6
2007,102,26,0,6
2007,103,20,0,6
2007,108,32,0,6
2007,109,27,0,6
2007,111,28,0,6
2007,112,15,0,6
2007,113,34,0,6
2007,117,16,0,6
2007,118,14,0,6
2007,120,17,0,6
2007,121,28,0,6
2007,122,13,0,6
2014,3,34,0,6
2014,5,15,0,6
2014,6,15,0,6
2014,8,15,0,6
2014,12,28,0,6
1999,80,30,0,6
2022,8,22,0,6
2029,124,28,0,6
2029,125,19,0,6
2022,11,8,0,6
2022,12,23,0,6
2029,128,14,0,6
2022,22,26,0,6
2029,134,28,0,6
2022,28,11,0,6
2029,144,13,0,6
2022,36,13,0,6
2022,37,16,0,6
2022,48,30,0,6
2029,2,15,0,6
2029,4,29,0,6
2029,24,28,0,6
2029,26,16,0,6
2029,28,16,0,6
2029,30,27,0,6
2101,4,29,0,6
2101,10,10,0,6
2029,46,10,0,6
2101,17,28,0,6
2029,53,19,0,6
2101,31,12,0,6
2101,32,9,0,6
2029,72,26,0,6
2102,15,20,0,6
2029,76,20,0,6
2102,21,12,0,6
2029,79,22,0,6
2102,24,14,0,6
2102,25,10,0,6
2029,86,35,0,6
2103,15,12,0,6
2103,28,10,0,6
2106,2,9,0,6
2106,3,11,0,6
2106,4,18,0,6
2105,11,28,0,6
2105,13,32,0,6
2106,14,17,0,6
2105,19,29,0,6
2105,22,33,0,6
2105,23,34,0,6
2106,27,12,0,6
2105,31,28,0,6
2106,31,20,0,6
2105,36,27,0,6
2106,33,24,0,6
2105,38,34,0,6
2105,45,41,0,6
2106,44,26,0,6
2105,50,28,0,6
2106,46,9,0,6
2107,5,15,0,6
2107,22,12,0,6
2107,24,17,0,6
2107,26,25,0,6
2105,93,37,0,6
2105,94,25,0,6
2108,29,12,0,6
2108,38,10,0,6
2108,40,15,0,6
2108,46,28,0,6
2108,82,7,0,6
2108,88,18,0,6
2108,89,24,0,6
2108,91,31,0,6
2108,98,23,0,6
2108,104,13,0,6
2108,105,18,0,6
2110,1,26,0,6
2105,178,17,0,6
2110,15,37,0,6
2112,191,7,0,6
2112,5,27,0,6
2112,195,17,0,6
2112,8,34,0,6
2112,9,21,0,6
2112,14,18,0,6
2112,16,9,0,6
2112,18,10,0,6
2112,20,35,0,6
2114,10,21,0,6
2112,26,13,0,6
2114,17,11,0,6
2112,31,21,0,6
2114,21,25,0,6
2112,36,14,0,6
2112,39,26,0,6
2112,42,28,0,6
2112,48,26,0,6
