center_number,last_4_digits,points,is_nssac,subject_count
105,21,14,0,6
102,5,14,0,6
102,7,19,0,6
105,27,20,0,6
102,13,20,0,6
102,14,11,0,6
102,15,9,0,6
106,4,33,0,6
102,16,28,0,6
102,17,13,0,6
106,6,40,0,6
102,21,23,0,6
106,11,26,0,6
106,13,31,0,6
103,1,22,0,6
103,2,25,0,6
106,15,20,0,6
103,5,8,0,6
106,19,10,0,6
103,7,15,0,6
103,8,19,0,6
103,12,8,0,6
103,14,25,0,6
106,28,24,0,6
103,15,16,0,6
106,31,21,0,6
106,32,12,0,6
103,20,26,0,6
103,23,13,0,6
103,25,17,0,6
103,26,9,0,6
103,30,10,0,6
103,33,15,0,6
103,36,14,0,6
103,38,22,0,6
106,58,20,0,6
103,40,14,0,6
103,41,25,0,6
106,61,14,0,6
103,47,20,0,6
106,67,27,0,6
103,50,25,0,6
103,52,15,0,6
106,72,30,0,6
103,54,18,0,6
106,74,21,0,6
103,55,22,0,6
106,75,22,0,6
106,76,30,0,6
103,57,13,0,6
103,62,24,0,6
103,64,11,0,6
103,72,26,0,6
104,1,17,0,6
108,3,9,0,6
104,2,29,0,6
104,3,7,0,6
108,5,17,0,6
104,4,14,0,6
104,6,23,0,6
104,8,17,0,6
108,10,25,0,6
104,10,10,0,6
108,14,21,0,6
104,15,20,0,6
104,17,12,0,6
104,19,33,0,6
104,21,29,0,6
108,21,24,0,6
104,23,21,0,6
108,25,30,0,6
104,28,4,0,6
104,33,11,0,6
104,36,26,0,6
104,37,22,0,6
109,7,11,0,6
104,40,16,0,6
109,10,12,0,6
104,42,16,0,6
109,12,27,0,6
104,46,16,0,6
104,48,21,0,6
104,50,22,0,6
109,20,29,0,6
104,52,23,0,6
109,22,30,0,6
104,54,8,0,6
104,57,16,0,6
109,28,13,0,6
104,59,23,0,6
109,30,21,0,6
109,31,17,0,6
105,2,22,0,6
105,8,0,0,6
105,10,16,0,6
109,39,33,0,6
105,12,28,0,6
109,41,31,0,6
105,14,18,0,6
105,16,16,0,6
109,45,28,0,6
105,18,19,0,6
109,51,24,0,6
109,52,28,0,6
109,53,14,0,6
109,55,25,0,6
109,60,28,0,6
109,61,37,0,6
112,37,23,0,6
112,39,13,0,6
112,44,20,0,6
112,46,14,0,6
109,73,13,0,6
112,53,10,0,6
112,56,14,0,6
112,57,26,0,6
112,68,12,0,6
112,73,19,0,6
112,76,19,0,6
112,77,19,0,6
112,79,22,0,6
110,6,13,0,6
110,7,12,0,6
110,9,24,0,6
110,29,19,0,6
111,4,30,0,6
111,5,20,0,6
111,15,22,0,6
111,23,34,0,6
111,25,38,0,6
114,5,18,0,6
114,7,14,0,6
111,34,11,0,6
114,12,14,0,6
111,39,22,0,6
111,41,24,0,6
111,44,17,0,6
115,2,18,0,6
111,54,18,0,6
111,57,28,0,6
115,9,24,0,6
112,4,18,0,6
115,12,30,0,6
115,15,22,0,6
115,17,26,0,6
112,12,19,0,6
112,15,9,0,6
112,20,17,0,6
115,33,29,0,6
120,46,15,0,6
120,50,35,0,6
115,41,22,0,6
115,42,23,0,6
120,54,26,0,6
115,49,30,0,6
120,61,13,0,6
120,62,21,0,6
115,53,23,0,6
115,54,14,0,6
120,64,16,0,6
120,68,19,0,6
120,69,16,0,6
120,73,10,0,6
120,78,22,0,6
303,69,17,0,6
303,70,26,0,6
303,71,6,0,6
303,73,8,0,6
303,74,12,0,6
303,75,19,0,6
303,76,13,0,6
303,78,24,0,6
303,79,18,0,6
304,6,21,0,6
304,11,8,0,6
304,16,10,0,6
124,8,19,0,6
304,26,3,0,6
304,30,10,0,6
304,32,6,0,6
124,24,32,0,6
124,30,29,0,6
304,42,19,0,6
304,44,16,0,6
124,40,26,0,6
304,49,12,0,6
304,50,16,0,6
304,52,11,0,6
304,54,16,0,6
124,53,23,0,6
304,61,9,0,6
124,56,19,0,6
